"team_slug","lat","lon","tz_offset"
"ATL",33.7573,-84.3963,-5
"BOS",42.3662,-71.0621,-5
"BKN",40.6826,-73.9754,-5
"CHA",35.2251,-80.8392,-5
"CHI",41.8807,-87.6742,-6
"CLE",41.4965,-81.6882,-5
"DAL",32.7905,-96.8103,-6
"DEN",39.7487,-105.0077,-7
"DET",42.341,-83.0552,-5
"GSW",37.768,-122.3877,-8
"HOU",29.7508,-95.3621,-6
"IND",39.7639,-86.1555,-5
"LAC",34.043,-118.2673,-8
"LAL",34.043,-118.2673,-8
"MEM",35.1382,-90.0505,-6
"MIA",25.7814,-80.187,-5
"MIL",43.045,-87.917,-6
"MIN",44.9795,-93.276,-6
"NOP",29.949,-90.0822,-6
"NYK",40.7505,-73.9934,-5
"OKC",35.4634,-97.5151,-6
"ORL",28.5392,-81.3839,-5
"PHI",39.9012,-75.172,-5
"PHX",33.4457,-112.0712,-7
"POR",45.5316,-122.6668,-8
"SAC",38.5805,-121.4993,-8
"SAS",29.427,-98.4375,-6
"TOR",43.6435,-79.379,-5
"UTA",40.7683,-111.9011,-7
"WAS",38.8981,-77.021,-5
