"Date","City","Latitude","Longitude"
2017-10-19,"Los Angeles",34.11,-118.41
2017-10-20,"Phoenix",33.54,-112.07
2017-10-22,"Los Angeles",34.11,-118.41
2017-10-25,"Los Angeles",34.11,-118.41
2017-10-27,"Los Angeles",34.11,-118.41
2017-10-28,"Salt Lake City",40.78,-111.93
2017-10-31,"Los Angeles",34.11,-118.41
2017-11-02,"Portland",45.54,-122.66
2017-11-03,"Los Angeles",34.11,-118.41
2017-11-05,"Los Angeles",34.11,-118.41
2017-11-08,"Boston",42.34,-71.02
2017-11-09,"Washington",38.91,-77.02
2017-11-11,"Milwaukee",43.06,-87.97
2017-11-13,"Phoenix",33.54,-112.07
2017-11-15,"Los Angeles",34.11,-118.41
2017-11-17,"Los Angeles",34.11,-118.41
2017-11-19,"Los Angeles",34.11,-118.41
2017-11-21,"Los Angeles",34.11,-118.41
2017-11-22,"Sacramento",38.57,-121.47
2017-11-27,"Los Angeles",34.11,-118.41
2017-11-29,"Los Angeles",34.11,-118.41
2017-12-02,"Denver",39.77,-104.87
2017-12-03,"Los Angeles",34.11,-118.41
2017-12-07,"Philadelphia",40.01,-75.13
2017-12-09,"Charlotte",35.2,-80.83
2017-12-12,"New York",40.67,-73.94
2017-12-14,"Cleveland",41.48,-81.68
2017-12-18,"Los Angeles",34.11,-118.41
2017-12-20,"Houston",29.77,-95.39
2017-12-22,"San Francisco",37.77,-122.45
2017-12-23,"Los Angeles",34.11,-118.41
2017-12-25,"Los Angeles",34.11,-118.41
2017-12-27,"Los Angeles",34.11,-118.41
2017-12-29,"Los Angeles",34.11,-118.41
2017-12-31,"Houston",29.77,-95.39
2018-01-01,"Minneapolis",44.96,-93.27
2018-01-03,"Los Angeles",34.11,-118.41
2018-01-05,"Los Angeles",34.11,-118.41
2018-01-07,"Los Angeles",34.11,-118.41
2018-01-09,"Los Angeles",34.11,-118.41
2018-01-11,"Los Angeles",34.11,-118.41
2018-01-13,"Dallas",32.79,-96.77
2018-01-15,"Memphis",35.11,-90.01
2018-01-17,"Oklahoma City",35.47,-97.51
2018-01-19,"Los Angeles",34.11,-118.41
2018-01-21,"Los Angeles",34.11,-118.41
2018-01-23,"Los Angeles",34.11,-118.41
2018-01-26,"Chicago",41.84,-87.68
2018-01-28,"Toronto",43.65,-79.38
2018-01-31,"Orlando",28.5,-81.37
2018-02-02,"New York",40.67,-73.94
2018-02-04,"Oklahoma City",35.47,-97.51
2018-02-06,"Los Angeles",34.11,-118.41
2018-02-08,"Los Angeles",34.11,-118.41
2018-02-10,"Dallas",32.79,-96.77
2018-02-14,"New Orleans",30.07,-89.93
2018-02-15,"Minneapolis",44.96,-93.27
2018-02-23,"Los Angeles",34.11,-118.41
2018-02-24,"Sacramento",38.57,-121.47
2018-02-26,"Atlanta",33.76,-84.42
2018-03-01,"Miami",25.78,-80.21
2018-03-03,"San Antonio",29.46,-98.51
2018-03-05,"Los Angeles",34.11,-118.41
2018-03-07,"Los Angeles",34.11,-118.41
2018-03-09,"Denver",39.77,-104.87
2018-03-11,"Los Angeles",34.11,-118.41
2018-03-13,"Los Angeles",34.11,-118.41
2018-03-14,"San Francisco",37.77,-122.45
2018-03-16,"Los Angeles",34.11,-118.41
2018-03-19,"Indianapolis",39.78,-86.15
2018-03-22,"New Orleans",30.07,-89.93
2018-03-24,"Memphis",35.11,-90.01
2018-03-26,"Detroit",42.38,-83.1
2018-03-28,"Los Angeles",34.11,-118.41
2018-03-30,"Los Angeles",34.11,-118.41
2018-04-01,"Los Angeles",34.11,-118.41
2018-04-03,"Salt Lake City",40.78,-111.93
2018-04-04,"Los Angeles",34.11,-118.41
2018-04-06,"Los Angeles",34.11,-118.41
2018-04-08,"Los Angeles",34.11,-118.41
2018-04-10,"Los Angeles",34.11,-118.41
2018-04-11,"Los Angeles",34.11,-118.41
